property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,ansal celebrity homes,sector 2,5.2,10000.0,5200.0,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4000 sq.ft. (371.61 sq.m.),4,5,2,1.0,,Undefined,,5200.0,4000.0,0,0,0,0,0,0,0,1300.0
flat,raheja atlantis,sector 31,5.5,18688.41,2943.0,Super Built up area 2943(273.41 sq.m.),4,5,3+,1.0,North,Relatively New,2943.0,,,1,1,0,1,0,0,81,735.75
house,independent,sector 2,2.55,16377.65,1557.0,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,Old Property,,173.0,,0,0,0,0,0,0,8,519.0
flat,signature global park,sohna road,0.65,5637.47,1153.0,Super Built up area 1153(107.12 sq.m.),2,2,2,2.0,North-West,Relatively New,1153.0,,,0,0,0,1,0,0,118,576.5
flat,shree vardhman victoria,sector 70,1.5,7692.31,1950.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,7.0,South,Relatively New,1950.0,,1161.0,0,1,0,0,0,1,174,650.0
flat,adani aangan arcade,sector 89,0.5,7763.98,644.0,Built Up area: 672 (62.43 sq.m.)Carpet area: 644 sq.ft. (59.83 sq.m.),2,2,1,4.0,,Relatively New,,672.0,644.0,0,0,0,0,0,2,69,322.0
flat,supertech araville,sector 79,1.1,5641.03,1950.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,,Relatively New,,,1950.0,0,0,0,0,0,1,106,650.0
flat,ats triumph,sector 104,1.85,8078.6,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,14.0,East,Relatively New,2290.0,,,1,1,1,1,0,0,117,763.3333333333334
house,bptp visionnaire,sector 70a,4.7,18007.66,2610.0,Plot area 290(242.48 sq.m.),4,4,3+,3.0,North-East,New Property,,290.0,,0,0,0,0,1,0,35,652.5
flat,bestech park view spa next,sector 67,2.35,12144.7,1935.0,Super Built up area 1935(179.77 sq.m.),3,4,3+,14.0,South-West,Moderately Old,1935.0,,,0,1,0,0,0,1,156,645.0
flat,adani brahma samsara vilasa,sector 63,4.49,14253.97,3150.0,Carpet area: 350 (292.64 sq.m.),4,4,3+,3.0,North,New Property,,,350.0,0,0,0,0,0,1,96,787.5
